pokemon_name,pokedex_num,pkmn,type1,type2
Treecko,#001,Treecko,Grass,null
Grovyle,#002,Grovyle,Grass,null
Sceptile,#003,Sceptile,Grass,null
Torchic,#004,Torchic,Fire,null
Combusken,#005,Combusken,Fire · Fighting,Fire · Fighting
Blaziken,#006,Blaziken,Fire · Fighting,Fire · Fighting
Mudkip,#007,Mudkip,Water,null
Marshtomp,#008,Marshtomp,Water · Ground,Water · Ground
Swampert,#009,Swampert,Water · Ground,Water · Ground
Poochyena,#010,Poochyena,Dark,null
Mightyena,#011,Mightyena,Dark,null
Zigzagoon,#012,Zigzagoon,Normal,null
Linoone,#013,Linoone,Normal,null
Wurmple,#014,Wurmple,Bug,null
Silcoon,#015,Silcoon,Bug,null
Beautifly,#016,Beautifly,Bug · Flying,Bug · Flying
Cascoon,#017,Cascoon,Bug,null
Dustox,#018,Dustox,Bug · Poison,Bug · Poison
Lotad,#019,Lotad,Water · Grass,null
Lombre,#020,Lombre,Water · Grass,null
Ludicolo,#021,Ludicolo,Water · Grass,null
Seedot,#022,Seedot,Grass,null
Nuzleaf,#023,Nuzleaf,Grass · Dark,Grass · Dark
Shiftry,#024,Shiftry,Grass · Dark,Grass · Dark
Taillow,#025,Taillow,Normal · Flying,null
Swellow,#026,Swellow,Normal · Flying,null
Wingull,#027,Wingull,Water · Flying,Water · Flying
Pelipper,#028,Pelipper,Water · Flying,Water · Flying
Ralts,#029,Ralts,Psychic,null
Kirlia,#030,Kirlia,Psychic,null
Gardevoir,#031,Gardevoir,Psychic,null
Surskit,#032,Surskit,Bug · Water,Bug · Water
Masquerain,#033,Masquerain,Bug · Flying,Bug · Flying
Shroomish,#034,Shroomish,Grass,null
Breloom,#035,Breloom,Grass · Fighting,Grass · Fighting
Slakoth,#036,Slakoth,Normal,null
Vigoroth,#037,Vigoroth,Normal,null
Slaking,#038,Slaking,Normal,null
Abra,#039,Abra,Psychic,null
Kadabra,#040,Kadabra,Psychic,null
Alakazam,#041,Alakazam,Psychic,null
Nincada,#042,Nincada,Bug · Ground,Bug · Ground
Ninjask,#043,Ninjask,Bug · Flying,Bug · Flying
Shedinja,#044,Shedinja,Bug · Ghost,Bug · Ghost
Whismur,#045,Whismur,Normal,null
Loudred,#046,Loudred,Normal,null
Exploud,#047,Exploud,Normal,null
Makuhita,#048,Makuhita,Fighting,null
Hariyama,#049,Hariyama,Fighting,null
Goldeen,#050,Goldeen,Water,null
Seaking,#051,Seaking,Water,null
Magikarp,#052,Magikarp,Water,null
Gyarados,#053,Gyarados,Water · Flying,Water · Flying
Azurill,#054,Azurill,Normal,null
Marill,#055,Marill,Water,null
Azumarill,#056,Azumarill,Water,null
Geodude,#057,Geodude,Rock · Ground,Rock · Ground
Graveler,#058,Graveler,Rock · Ground,Rock · Ground
Golem,#059,Golem,Rock · Ground,Rock · Ground
Nosepass,#060,Nosepass,Rock,null
Skitty,#061,Skitty,Normal,null
Delcatty,#062,Delcatty,Normal,null
Zubat,#063,Zubat,Poison · Flying,Poison · Flying
Golbat,#064,Golbat,Poison · Flying,Poison · Flying
Crobat,#065,Crobat,Poison · Flying,Poison · Flying
Tentacool,#066,Tentacool,Water · Poison,Water · Poison
Tentacruel,#067,Tentacruel,Water · Poison,Water · Poison
Sableye,#068,Sableye,Dark · Ghost,Dark · Ghost
Mawile,#069,Mawile,Steel,null
Aron,#070,Aron,Steel · Rock,Steel · Rock
Lairon,#071,Lairon,Steel · Rock,Steel · Rock
Aggron,#072,Aggron,Steel · Rock,Steel · Rock
Machop,#073,Machop,Fighting,null
Machoke,#074,Machoke,Fighting,null
Machamp,#075,Machamp,Fighting,null
Meditite,#076,Meditite,Fighting · Psychic,Fighting · Psychic
Medicham,#077,Medicham,Fighting · Psychic,Fighting · Psychic
Electrike,#078,Electrike,Electric,null
Manectric,#079,Manectric,Electric,null
Plusle,#080,Plusle,Electric,null
Minun,#081,Minun,Electric,null
Magnemite,#082,Magnemite,Electric · Steel,Electric · Steel
Magneton,#083,Magneton,Electric · Steel,Electric · Steel
Voltorb,#084,Voltorb,Electric,null
Electrode,#085,Electrode,Electric,null
Volbeat,#086,Volbeat,Bug,null
Illumise,#087,Illumise,Bug,null
Oddish,#088,Oddish,Grass · Poison,Grass · Poison
Gloom,#089,Gloom,Grass · Poison,Grass · Poison
Vileplume,#090,Vileplume,Grass · Poison,Grass · Poison
Bellossom,#091,Bellossom,Grass,null
Doduo,#092,Doduo,Normal · Flying,null
Dodrio,#093,Dodrio,Normal · Flying,null
Roselia,#094,Roselia,Grass · Poison,Grass · Poison
Gulpin,#095,Gulpin,Poison,null
Swalot,#096,Swalot,Poison,null
Carvanha,#097,Carvanha,Water · Dark,Water · Dark
Sharpedo,#098,Sharpedo,Water · Dark,Water · Dark
Wailmer,#099,Wailmer,Water,null
Wailord,#100,Wailord,Water,null
Numel,#101,Numel,Fire · Ground,Fire · Ground
Camerupt,#102,Camerupt,Fire · Ground,Fire · Ground
Slugma,#103,Slugma,Fire,null
Magcargo,#104,Magcargo,Fire · Rock,Fire · Rock
Torkoal,#105,Torkoal,Fire,null
Grimer,#106,Grimer,Poison,null
Muk,#107,Muk,Poison,null
Koffing,#108,Koffing,Poison,null
Weezing,#109,Weezing,Poison,null
Spoink,#110,Spoink,Psychic,null
Grumpig,#111,Grumpig,Psychic,null
Sandshrew,#112,Sandshrew,Ground,null
Sandslash,#113,Sandslash,Ground,null
Spinda,#114,Spinda,Normal,null
Skarmory,#115,Skarmory,Steel · Flying,Steel · Flying
Trapinch,#116,Trapinch,Ground,null
Vibrava,#117,Vibrava,Ground · Dragon,Ground · Dragon
Flygon,#118,Flygon,Ground · Dragon,Ground · Dragon
Cacnea,#119,Cacnea,Grass,null
Cacturne,#120,Cacturne,Grass · Dark,Grass · Dark
Swablu,#121,Swablu,Normal · Flying,null
Altaria,#122,Altaria,Dragon · Flying,Dragon · Flying
Zangoose,#123,Zangoose,Normal,null
Seviper,#124,Seviper,Poison,null
Lunatone,#125,Lunatone,Rock · Psychic,Rock · Psychic
Solrock,#126,Solrock,Rock · Psychic,Rock · Psychic
Barboach,#127,Barboach,Water · Ground,Water · Ground
Whiscash,#128,Whiscash,Water · Ground,Water · Ground
Corphish,#129,Corphish,Water,null
Crawdaunt,#130,Crawdaunt,Water · Dark,Water · Dark
Baltoy,#131,Baltoy,Ground · Psychic,Ground · Psychic
Claydol,#132,Claydol,Ground · Psychic,Ground · Psychic
Lileep,#133,Lileep,Rock · Grass,Rock · Grass
Cradily,#134,Cradily,Rock · Grass,Rock · Grass
Anorith,#135,Anorith,Rock · Bug,Rock · Bug
Armaldo,#136,Armaldo,Rock · Bug,Rock · Bug
Igglybuff,#137,Igglybuff,Normal,null
Jigglypuff,#138,Jigglypuff,Normal,null
Wigglytuff,#139,Wigglytuff,Normal,null
Feebas,#140,Feebas,Water,null
Milotic,#141,Milotic,Water,null
Castform,#142,Castform,Normal,null
Staryu,#143,Staryu,Water,null
Starmie,#144,Starmie,Water · Psychic,Water · Psychic
Kecleon,#145,Kecleon,Normal,null
Shuppet,#146,Shuppet,Ghost,null
Banette,#147,Banette,Ghost,null
Duskull,#148,Duskull,Ghost,null
Dusclops,#149,Dusclops,Ghost,null
Tropius,#150,Tropius,Grass · Flying,Grass · Flying
Chimecho,#151,Chimecho,Psychic,null
Absol,#152,Absol,Dark,null
Vulpix,#153,Vulpix,Fire,null
Ninetales,#154,Ninetales,Fire,null
Pichu,#155,Pichu,Electric,null
Pikachu,#156,Pikachu,Electric,null
Raichu,#157,Raichu,Electric,null
Psyduck,#158,Psyduck,Water,null
Golduck,#159,Golduck,Water,null
Wynaut,#160,Wynaut,Psychic,null
Wobbuffet,#161,Wobbuffet,Psychic,null
Natu,#162,Natu,Psychic · Flying,Psychic · Flying
Xatu,#163,Xatu,Psychic · Flying,Psychic · Flying
Girafarig,#164,Girafarig,Normal · Psychic,Normal · Psychic
Phanpy,#165,Phanpy,Ground,null
Donphan,#166,Donphan,Ground,null
Pinsir,#167,Pinsir,Bug,null
Heracross,#168,Heracross,Bug · Fighting,Bug · Fighting
Rhyhorn,#169,Rhyhorn,Ground · Rock,Ground · Rock
Rhydon,#170,Rhydon,Ground · Rock,Ground · Rock
Snorunt,#171,Snorunt,Ice,null
Glalie,#172,Glalie,Ice,null
